id_1081;2.6923077
id_2060;3.8666666
id_2260;3.3333333
id_2326;2.0
id_2383;3.2173913
id_2439;2.7272727
id_2609;3.7333333
id_2732;3.7142856
id_2897;2.4444444
id_3147;2.8888888
id_3373;2.375
id_3629;3.3333333
id_3911;2.8
id_4060;3.0
id_4214;3.1818182
id_4459;2.3
id_4798;3.375
id_4865;2.0
id_4988;3.75
id_5270;3.6666667
id_5326;3.090909
id_5506;2.6666667
id_5562;2.8333333
id_5629;2.9
id_5732;3.25
id_6024;3.0
id_6270;4.0
id_6336;3.3333333
id_6639;4.181818
id_6901;3.2
id_7038;3.25
id_7393;3.1875
id_7639;3.4166667
id_7685;3.090909
id_7921;2.3333333
id_8034;3.125
id_8270;4.0
id_8393;3.125
id_8552;3.25
id_9326;3.0
